"Equipment","Model","S/N","Cal Date","Stations","Group"
"Rosette","36-place","Yellow","–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"CTD","SBE9+",0914,"–","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Pressure Sensor","Digiquartz",110547,"Feb 5, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Temperature","SBE3+",32309,"Feb 2, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Conductivity","SBE4C",43399,"Nov 25, 2020","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Primary Pump","SBE5",51871,"–","|FIRST_STA|-|LAST_STA|",":term:`UCSD`"
"Secondary Temperature","SBE3+",32380,"Feb 2, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Conductivity","SBE4C",41880,"Dec 4, 2020","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Secondary Pump","SBE5",58690,"–","|FIRST_STA|-|LAST_STA|",":term:`UCSD`"
"Transmissometer","Cstar","CST-1803DR","Aug 9, 2019","|FIRST_STA|-|LAST_STA|",":term:`TAMU`"
"Fluorometer Chlorophyll","WetLabs","FLRTD-1156","–","|FIRST_STA|-|LAST_STA|",":term:`U Maine`"
"Primary Dissolved Oxygen","SBE43",431138,"Dec 5, 2020","|FIRST_STA|",":term:`ODF`"
"Primary Dissolved Oxygen","SBE43",430275,"Nov 14, 2020","1-14",":term:`ODF`"
"Primary Dissolved Oxygen","SBE43",430255,"Nov 13, 2020","15-|LAST_STA|",":term:`ODF`"
"Oxygen Optode","JFE Advantech RINKO-III",0297,"April 7, 2017","|FIRST_STA|-35, 41-?",":term:`ODF`"
"Oxygen Optode","JFE Advantech RINKO-III",0296,"April 7, 2017","36-|LAST_STA|",":term:`ODF`"
"Reference Temperature","SBE35",0105,"Feb 9, 2021","|FIRST_STA|-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","S/N?","–","|FIRST_STA|-14",":term:`STS`/:term:`ODF`"
"Carousel","SBE32","S/N?","–","15-|LAST_STA|",":term:`STS`/:term:`ODF`"
"Altimeter","Valeport 500",59116,"–","|FIRST_STA|-15",":term:`UCSD`"
"Altimeter","Valeport 500",53821,"–","16-36, 39-|LAST_STA|",":term:`UCSD`"
"Altimeter","Valeport 500",67356,"–","37",":term:`UW`"
"Altimeter","Valeport 500",67355,"–","38",":term:`UW`"
"DL :ref:`LADCP`","Teledyne RDI WH150",19394,"–","1-17, 35-40",":term:`LDEO`"
"DL :ref:`LADCP`","Teledyne RDI WH300",24497,"–","18-31, 40-|LAST_STA|",":term:`LDEO`"
"DL :ref:`LADCP`","Nortek Signature100","–","–","|FIRST_STA|, 32-34",":term:`LDEO`"
"UL :ref:`LADCP`","Teledyne RDI WH300",12734,"–","|FIRST_STA|-|LAST_STA|",":term:`LDEO`"
"D2 CTD","D2 CTD","02-1564","–","|FIRST_STA|-36",":term:`WHOI`"
"D2 CTD","D2 CTD","02-1563","–","37-|LAST_STA|",":term:`WHOI`"
"Chipods","Chipod","2018/Ti44-2","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2024/Ti44-7","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
"Chipods","Chipod","2032/Ti44-15","–","|FIRST_STA|-|LAST_STA|",":term:`OSU`"
